z_km,T_K,M_cm3,O2_model_cm3,N2_model_cm3,CO2_model_cm3,O3_socrates_reference_vmr,O3_socrates_reference_cm3,msis_mass_density_kg_m3,msis_N2_native_cm3,msis_O2_native_cm3,msis_O_native_cm3,msis_He_native_cm3,msis_H_native_cm3,msis_Ar_native_cm3,msis_N_native_cm3,msis_anomalous_O_native_cm3
103,193.12730407714844,7424708916784.4619,1559188872524.7371,5791272955091.8809,3007007111.2977071,3.0464549502699755e-06,22619041.233851653,3.4416842709106277e-07,5754398557570.334,1138170250450.1738,478989080860.81946,98347033.559039995,13824679.739391999,53038263375.495163,592814.34214399999,0
104,197.14341735839844,6184508033331.7568,1298746686999.6689,4823916265998.7705,2504725753.4993615,3.0000000000000001e-06,18553524.09999527,2.8557599307532655e-07,4775362068117.1924,922434318050.00085,444125456929.65271,90689694.072832003,12611411.247104,42482251669.176315,637460.41446399991,0
105,201.88893127441406,5156165321195.7148,1082794717451.1001,4021808950532.6577,2088246955.0842645,2.3883173542333874e-06,12314559.117908094,2.371414495883073e-07,3965620132771.7905,747280466477.84241,409214485279.01489,84096122.355711997,11525992.480767999,33953928383.037437,686169.19449599995,0
106,207.35504150390625,4305595608838.438,904175077856.0719,3358364574893.9819,1743766221.5795672,1.9013532615107885e-06,8186458.2536114929,1.9720737043371628e-07,3297598924054.8555,605595542696.75513,375208652216.20532,78395517.960191995,10549939.142656,27102804858.372093,739555.14777599997,0
107,213.53219604492188,3603164038178.3413,756664448017.45166,2810467949779.1064,1459281435.4622281,1.5136783303314888e-06,5454031.325220257,1.6433685345873528e-07,2747401106492.4897,491292856493.80145,342761308166.29144,73440987.971583992,9668091.969535999,21624859687.649281,798258.167808,4.6906166177304368e-39
108,220.40594482421875,3023525001869.3281,634940250392.55884,2358349501458.0762,1224527625.7570779,1.2050480750192371e-06,3643492.983275169,1.3730436876357999e-07,2294648194136.5391,399249164719.8822,312287450049.28204,69108527.792127997,8868178.4279040005,17261353303.539711,862953.86521600001,2.0674124444522062e-38
109,227.95231628417969,2545276873221.3408,534508143376.48157,1985315961112.646,1030837133.6546429,9.5934574341799328e-07,2441800.5341451527,1.150779809222513e-07,1922177772550.0947,325208567101.52191,284020638186.73358,65295498.60864,8140362.87488,13795525149.065216,934372.44211199996,7.2423576405079835e-38
110,236.13177490234375,2150540724170.0637,451613552075.71338,1677421764852.6497,870968993.28887582,7.6374069590504106e-07,1642455.4692497754,9.679785506477856e-08,1615684508261.0237,265674169985.79404,258063333318.45938,61918358.274048001,7476822.4092159998,11048304079.011839,1013345.0915839999,2.3593081453630847e-37
111,244.901611328125,1824353554107.7278,383114246362.6228,1422995772204.0278,738863189.41362977,6.0801838605476432e-07,1109240.5035618539,8.1746676983129873e-08,1363225505968.4229,217780233753.85394,234408268359.79468,58907393.261567995,6870967.2550399993,8872666920.3865604,1100744.753152,7.3867590105954815e-37
112,254.27684020996094,1553964813184.9255,326332610768.83435,1212092554284.2419,629355749.33989477,4.8404695436918949e-07,752191.93501904968,6.9316264728058741e-08,1154665467487.4531,179161571455.40198,212926353773.69086,56196107.075583994,6316241.7151999995,7147710880.6778879,1197238.9109759999,2.2641241830171149e-36
113,264.28857421875,1329019326433.9844,279094058551.13672,1036635074618.5078,538252827.2057637,3.853525804612505e-07,512141.02692420891,5.9014066522422581e-08,981788223460.08167,147934015297.4213,193458710129.93433,53729118.126079999,5807060.0253440002,5777537930.1007357,1303438.29504,6.7502701029868133e-36
114,274.9664306640625,1141205847433.0193,239653227960.93405,890140560997.75513,462188368.21037281,3.067814184714073e-07,350100.7486433661,5.044558193390003e-08,838006393565.87207,122609281802.4366,175845100788.64587,51462654.656512,5338869.7927679997,4686849775.7634554,1419975.852032,1.9539102458238135e-35
115,286.33718872070312,983838262825.97571,206606035193.4549,767393845004.26111,398454496.44452012,2.4423046189719899e-07,240283.27336212591,4.3294154039585919e-08,718025898036.55981,102010275053.43692,159929704336.32666,49362436.620288,4907913.4453759994,3816567531.896832,1547517.689856,5.4842076928235007e-35
116,298.42288208007812,851523328718.79883,178819899030.94775,664188196400.66309,344866948.13111353,1.9443328352717205e-07,165564.47680278355,3.7304946687299889e-08,617580700475.85071,85204342902.095871,145564327221.39545,47401893.101567999,4511033.1965439999,3120358433.4888959,1686759.66976,1.4880605029929404e-34
117,311.23895263671875,739895673177.37476,155378091367.24869,577118625078.35229,299657747.63683677,1.5478946176284182e-07,114528.05301178136,3.2272183148052136e-08,533221323669.76611,71450942792.269821,132610001482.0229,45560769.806336001,4145533.6816639998,2561860482.1053438,1838447.7224959999,3.8869878879951226e-34
118,324.79104614257812,645414222303.3302,135536986683.69934,503423093396.5976,261392760.03284872,1.2322878592688011e-07,79533.611034380883,2.8029354837144638e-08,462152843420.23779,60161037139.181564,120938170157.10515,43824013.377535999,3809079.7219839999,2112535096.4592638,2003397.246976,9.7221983594837627e-34
119,339.07174682617188,565197138183.8479,118691399018.60805,440853767783.40137,228904840.96445838,9.8103149323426216e-08,55447.619244423193,2.4441298762667429e-08,402103496905.58875,50865014218.686462,110430807545.34808,42180747.984895997,3499609.0306559997,1749956641.685504,2182515.5235839998,2.3134771233765017e-33
120,354.05645751953125,496892212375.71582,104347364598.90031,387575925653.05835,201241346.01216489,7.8100484678029387e-08,38807.522619281721,2.1397983829274381e-08,351221500386.21387,43187622738.132988,100980393435.46367,40623520.350207999,3215278.7353599998,1456480184.172544,2376832.6471679998,5.2086120529771703e-33
121,369.6983642578125,438574162632.76953,92100574152.881592,342087846853.56024,177622535.86627164,6.217624764352543e-08,27268.895745906873,1.8809593882451736e-08,307993513545.43304,36828309476.081665,92489449249.701889,39147616.075775996,2954417.1438079998,1218200767.2995839,2587561.0337279998,1.1123530409295181e-32
122,385.92266845703125,388662347204.39502,81619092912.922958,303156630819.4281,157408250.61777997,4.9498870422714827e-08,19238.347162458551,1.6602585972691486e-08,271179098288.55399,31545744515.137535,84870082777.317368,37750547.939328,2715494.1214719997,1024139448.025088,2816133.3002239997,2.3318766876931995e-32
123,402.62100219726562,345855066584.90778,72629563982.830627,269766951936.22809,140071301.96688765,3.9406337081839834e-08,13628.881335307036,1.4716579066487157e-08,239758595019.76779,27145638567.215103,78043232260.325378,36431573.549056001,2497090.4207359999,865607775.94470394,3064297.684992,5.3866898526854315e-32
124,419.8876953125,308923374470.43079,64873908638.790466,240960232086.93604,125113966.66052446,3.1371612906442839e-08,9691.4245216384406,1.3095348805336471e-08,212787368631.99231,23459815745.388542,71900076112.347137,35179183.734784,2297189.1056639999,735305111.96159995,3332495.9006719999,1.5492074469466786e-31
125,436.594970703125,277592542741.00433,58294433975.610909,216522183337.9834,112424979.81010675,2.4975122511583174e-08,6932.9077632584713,1.1723805926067143e-08,189990266340.37656,20406968023.777279,66526114247.344124,34042156.154880002,2117377.1960319998,629404170.45299196,3630425.7023999998,4.5381535921367131e-31
126,452.88427734375,250725582268.66174,52652372276.418961,195565954169.55615,101543860.818808,1.9882839506173004e-08,4985.1365123395772,1.0550993856384139e-08,170515647669.73132,17852454620.102654,61776202540.515327,32998172.91776,1954839.1342079998,542365618.01215994,3958808.2483199998,1.3107493892251132e-30
127,468.76617431640625,227517164161.20422,47778604473.852882,177463388045.73929,92144451.485287711,1.5828843548010053e-08,3601.3335959946216,9.5406873512615675e-09,153756341683.35565,15699099751.809023,57553321975.611389,32034865.020927999,1807521.021952,470239091.35974395,4319273.0255359998,3.7335078760250686e-30
128,484.2509765625,207335315537.91995,43540416262.963188,161721546119.57758,83970802.792857572,1.2601433914385861e-08,2612.7222768694382,8.6645144392605289e-09,139236904091.51691,13871668476.772352,53779196773.66272,31142185.009151999,1673687.2038399999,410016838.32012796,4713485.4348799996,1.0489567864840652e-29
129,499.34869384765625,189678469082.90662,39832478507.410385,147949205884.66718,76819779.978577182,1.0032074435317637e-08,1902.8685206168143,7.8999971009352521e-09,126580855240.91699,12311263908.462591,50389960770.977791,30311844.937727999,1551856.4351999999,359382328.01689601,5143133.1594239995,2.9073512838131081e-29
130,514.0692138671875,174144468893.56494,36570338467.648636,135832685736.98065,70528509.901893795,7.9865924909434193e-09,1390.8209076046755,7.2291452823947111e-09,115487023434.82573,10971311421.521919,47333013503.082497,29536966.148095999,1440751.8126079999,316532949.25414401,5609866.9199359994,7.9510243581199285e-29
131,528.4219970703125,160408033643.33157,33685687065.099628,125118266241.79863,64965253.625549287,6.3581724824367406e-09,1019.9019454728177,6.6374350460307596e-09,105712373653.83168,9814648811.4216957,44564692332.445694,28811754.209279999,1339269.44768,280052503.67487997,6115318.3006719993,2.1459043678993576e-28
132,542.41632080078125,148203642745.12689,31122764976.476646,115598841341.19897,60022475.311776385,5.0617778936709463e-09,750.17392260878978,6.1130318584901033e-09,97058959445.196793,8811353041.0106869,42048472857.182205,28131285.008384001,1246444.7815679999,248818645.86035198,6661026.0869119996,5.71661572888878e-28
133,556.061279296875,137312810777.44437,28835690263.263317,107103992406.40662,55611688.364864968,4.0297106622430795e-09,553.33089765243403,5.6462177155935933e-09,89364319375.98259,7937151102.6155519,39753504327.204865,27491322.298367999,1161431.0891519999,221934784.610304,7248433.6435199995,1.5034138899605906e-27
134,569.36572265625,127554580340.40831,26786461871.485744,99492572665.518478,51659605.037865363,3.2080759690581531e-09,409.20478393336145,5.2289546026429434e-09,82494166998.712311,7172209911.0051832,37653673341.353981,26888212.840448,1083480.604672,198679516.41395199,7878879.4777599992,3.903957660816791e-27
135,582.338134765625,118778057355.10014,24943392044.57103,92646884736.978119,48105113.228815556,2.553967836866892e-09,303.35533821045675,4.8545532038701822e-09,76336824573.755386,6500229528.420352,35726650364.657661,26318768.963583998,1011931.6111359999,178468641.83295998,8553545.8590719998,1.0011253862629921e-26
136,594.987060546875,110856467497.22214,23279858174.416649,86468044647.833267,44896869.336374961,2.0332285689810335e-09,225.39653677166942,4.5174051166441131e-09,70798648929.15712,5907700672.1023998,33953292727.877632,25780161.609727997,946193.69471999991,160825352.38860798,9273460.3919360004,2.5357010035898523e-26
137,607.320556640625,103682841604.25983,21773396736.894562,80872616451.322662,41991550.849725224,1.6186650254735055e-09,167.82778944652466,4.2127843435935119e-09,65800831710.003197,5383395223.79776,32317060511.956989,25269920.333823998,885740.53580800002,145359057.71520001,10039439.917056,6.3448785488303412e-26
138,619.3465576171875,97166388280.295425,20404941538.862038,75789782858.630432,39352387.253519647,1.288628590343e-09,125.2113859583577,3.93668830867e-09,61276624829.546494,4917913647.5791359,30803634295.930878,24785828.446208,830099.81644799991,131747475.881984,10852103.094271999,1.5685708341099717e-25
139,631.072998046875,91229506170.519547,19158196295.809105,71159014813.005249,36947949.999060415,1.025884675159164e-09,93.590952302674395,3.6857001894929908e-09,57169102791.245819,4503347834.9127674,29400515724.967934,24325910.429695997,778846.86335999996,119723228.39756799,11711833.702399999,3.8319508937915828e-25
140,642.5072021484375,85805889667.989502,18019236830.277794,66928593941.031815,34751385.315535747,8.1671272437490396e-10,70.078761918156133,3.4569067608458681e-09,53429723874.721786,4133022601.3143039,28096840679.292927,23888377.413631998,731599.60166399996,109063757.103104,12618778.54208,9.2520999374184006e-25
141,653.6566162109375,80838200175.296524,16976022036.812269,63053796136.731293,32739471.070995089,6.5018972434927058e-10,52.560167088867203,3.2477927014440411e-09,50016607853.871101,3801269663.6948481,26883007759.515648,23471622.979583997,688012.32895999996,99582457.413631991,13572805.492735999,2.2081652626552078e-24
142,664.52850341796875,76276957633.904617,16018161103.119968,59496026954.445602,30892167.841731369,5.1761980073586158e-10,39.482463611199464,3.0561910779880463e-09,46893689888.309242,3503259599.7655039,25750590239.801342,23074195.898367997,647772.56959999993,91122412.027903989,14573525.532671999,5.2102663354546304e-24
143,675.1297607421875,72079174866.436096,15136626721.95158,56221756395.82016,29192065.820906617,4.120801176640952e-10,29.702394860091879,2.8802218388079837e-09,44029698321.154045,3234863603.7775359,24692136351.891457,22694766.575615998,610597.20806400001,83550997.05343999,15620228.775936,1.2155934434988362e-23
144,685.46728515625,68207395758.473198,14323553109.279371,53201768691.609093,27623995.282181643,3.2805936545056349e-10,22.376074971560172,2.71825006947779e-09,41397428829.552635,2992537522.405376,23701053320.986622,22332133.343231998,576229.01555200003,76755738.034175992,16711985.135615999,2.8046683634243475e-23
145,695.547607421875,64628823883.382782,13572053015.510384,50410482629.038574,26174673.672770027,2.6116995857479114e-10,16.879107256360552,2.5688466909201679e-09,38973125949.390846,2773225217.9824638,22771454894.407681,21985186.807808001,544434.42175999994,70640669.294591993,17847531.077631999,6.4003781493115255e-23
146,705.377197265625,61314675433.046013,12876081840.939663,47825446837.775894,24832443.550383635,2.0791891482286278e-10,12.748480778754971,2.4307587054295254e-09,36735963384.250366,2574287433.1054077,21898107654.504448,21652924.530687999,515001.05727999995,65123737.665535994,19025297.932287998,1.4448419346000898e-22
147,714.9625244140625,58239611547.615234,12230318424.999199,45426897007.139885,23587042.676784169,1.6552545084827216e-10,9.6401379586472498,2.3028845497208295e-09,34667638130.999298,2393434681.7699838,21076338676.858879,21334406.987776,487735.099392,60134432.702463999,20243483.197439998,3.2270089170926924e-22
148,724.30963134765625,55381241899.712509,11630060798.939627,43197368681.775757,22429402.969383564,1.3177576894274462e-10,7.2979057363387625,2.1842536668259527e-09,32752024734.924797,2228675038.6749439,20301938893.520897,21028789.026815999,462460.22348799999,55612016.689151995,21499966.652415998,7.1315118430908165e-22
149,733.4244384765625,52719758484.373505,11071149281.718435,41121411617.811333,21351502.186171267,1.0490745194446906e-10,5.5306955297234284,2.0740076323022549e-09,30974863904.60416,2078275887.1695359,19571148060.622849,20735284.215808,439015.37484800001,51503960.162303999,22792372.223999999,1.5596811528113905e-21
150,742.31292724609375,50237509715.755005,10549877040.30855,39185257578.288902,20346191.434880774,8.3517429355793486e-11,4.1957076686965573,1.9713823906641892e-09,29323470454.128639,1940715198.21824,18880571006.517246,20453164.843008,417253.68729599996,47764591.345663995,24118047.014911998,3.376143943472948e-21
