z_km,T_K,M_cm3,O2_model_cm3,N2_model_cm3,CO2_model_cm3,O3_socrates_reference_vmr,O3_socrates_reference_cm3,msis_mass_density_kg_m3,msis_N2_native_cm3,msis_O2_native_cm3,msis_O_native_cm3,msis_He_native_cm3,msis_H_native_cm3,msis_Ar_native_cm3,msis_N_native_cm3,msis_anomalous_O_native_cm3
22,214.13728332519531,1.3094200212260634e+18,2.7497820445747328e+17,1.0213476165563295e+18,530315108596555.62,2.6208852725262884e-06,3431839649182.4492,0.062927193939685822,1.0227940646280396e+18,2.743849418028881e+17,nan,6863684293961.4492,nan,12234151110841798,nan,0
23,214.95263671875,1.1137559056775049e+18,2.3388874019227603e+17,8.6872960642845389e+17,451071141799389.44,3.2691406192081082e-06,3641024671133.2456,0.053524099290370941,8.699599076735945e+17,2.3338413476651008e+17,nan,5838057098792.9268,nan,10406025180301616,nan,0
24,215.95681762695312,9.4719380377279078e+17,1.9891069879228605e+17,7.3881116694277683e+17,383613490527980.25,4.0777368243421256e-06,3862407053432.9985,0.04551958292722702,7.3985747167991834e+17,1.9848156191356192e+17,nan,4964976146862.0469,nan,8849805203163834,nan,0
25,217.14083862304688,8.055714342675991e+17,1.6917000119619581e+17,6.283457187287273e+17,326256430878377.62,5.0863329374383398e-06,4097404519574.7339,0.038713585585355759,6.2923559006161382e+17,1.6880502011141002e+17,nan,4222623828938.8501,nan,7526601470746202,nan,0
26,218.49618530273438,6.8526567505376666e+17,1.4390579176129099e+17,5.3450722654193798e+17,277532598396775.47,5.644288905465887e-06,3867837447002.5669,0.032932020723819733,5.3526420081284141e+17,1.4359531955646998e+17,nan,3592008005798.8545,nan,6402562676449589,nan,0
27,220.014404296875,5.8313989103552218e+17,1.2245937711745965e+17,4.5484911500770733e+17,236171655869386.47,6.1826026679013798e-06,3605322246075.9395,0.028024131432175636,4.554932736787175e+17,1.2219517789752565e+17,nan,3056687680071.9258,nan,5448382771598788,nan,0
28,221.68736267089844,4.9648913544769459e+17,1.0426271844401586e+17,3.8726152564920179e+17,201078099856316.31,6.7722571238557514e-06,3362352084452.6328,0.02385992743074894,3.8780997191565901e+17,1.0403777208547613e+17,nan,2602484099562.0781,nan,4638788962459880,nan,0
29,223.50657653808594,4.2299008814311283e+17,88827918510053696,3.2993226875162803e+17,171310985697960.69,7.4181487983575626e-06,3137803414075.9922,0.020327761769294739,3.3039952501782074e+17,88636272007801968,nan,2217218661163.2046,nan,3952073898828939,nan,0
30,225.46359252929688,3.6065337657845882e+17,75737209081476352,2.8130963373119789e+17,146064617514275.81,8.1256412135815983e-06,2930539940543.2891,0.017332028597593307,2.8170802898417315e+17,75573806468595216,nan,1890463596597.4773,nan,3369650662093854,nan,0
31,227.54940795898438,3.0778056902690266e+17,64633919495649552,2.4006884384098406e+17,124651130455895.56,8.1822636635167659e-06,2518341766285.3394,0.014791103079915047,2.404088314508841e+17,64494474003703288,nan,1613316297653.7476,nan,2875650256017631,nan,0
